"Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","electric hair brush","MKHS4N1071","B0C23N39V2","P3 - 21 / 60","P2 - 49 / 60","Yes"
"MKHS4N1071","Monika 4in1 Air Styler 1200W Auto Curler Hair Dryer Brush Straightening Curling Blow Ionic Care","hair dryer brush","MKHS4N1071","B0C23N39V2","P2 - 22 / 60","P1 - 44 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","socket adapter","TXSA13S254","B0D1QWC196","P1 - 4 / 60","P1 - 15 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","impact socket","TXSA13S254","B0D1QWC196","P1 - 2 / 60","P1 - 33 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","drill socket adapter","TXSA13S254","B0D1QWC196","P3 - 21 / 56","P1 - 18 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","socket extension set","TXSA13S254","B0D1QWC196","P1 - 2 / 60","P1 - 13 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","impact socket adapter","TXSA13S254","B0D1QWC196","P1 - 4 / 60","P1 - 17 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","socket extension","TXSA13S254","B0D1QWC196","No","P1 - 25 / 60","No"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","impact driver socket set","TXSA13S254","B0D1QWC196","P1 - 1 / 60","P1 - 9 / 60","Yes"
"TXSA13S254","TOPEX 13-Piece Impact Drill Socket Adapter Set and Universal Joints Socket Set, 1/4"" 3/8"" & 1/2"" Driver Socket Adapter with 105° Angle Screwdriver Drill Bit, Power drill Impact Grade Socket Extensions","impact socket set","TXSA13S254","B0D1QWC196","P1 - 21 / 60","P1 - 52 / 60","Yes"
