"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/186557922091","SLDR2LY110",,"SL110","dish drainer with tray","EXACT","0.97",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","body composition scale","EXACT","0.86",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","weight scale for body","EXACT","0.7",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","body scale","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","smart scale","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","smart scale","PHRASE","0.25",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","bluetooth scale","EXACT","1.08",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","fat scale","EXACT","1.14",,,"True",
"https://www.ebay.com.au/itm/186441058466","MKSSBMI101",,"MK101","bathroom scale","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","allen key set","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","hex key","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","allen wrench set","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","allen key","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","allen key set","EXACT","0.86",,,"True",
"https://www.ebay.com.au/itm/186430533986","TXAK38P058",,"TX058","hex key set","EXACT","0.23",,,"True",
"https://www.ebay.com.au/itm/186430511238","TXND16S255",,"TX255","nut driver set","PHRASE","0.55",,,"True",
"https://www.ebay.com.au/itm/186430511238","TXND16S255",,"TX255","magnetic nut driver set","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186430511238","TXND16S255",,"TX255","impact nut driver set","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186430511238","TXND16S255",,"TX255","magnetic socket","PHRASE","0.28",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","socket set","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","1/4 drive socket set","PHRASE","0.9",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","socket adapter set","PHRASE","0.25",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","socket extension set","EXACT","0.25",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","socket adaptor","PHRASE","0.22",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","impact nut driver","PHRASE","0.7",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","socket set","EXACT","0.2",,,"True",
"https://www.ebay.com.au/itm/186430602097","TXSA13S254",,"TX254","drill socket adapter","EXACT","0.67",,,"True",
"https://www.ebay.com.au/itm/186400088441","TXRW12V232",,"TX232","cordless ratchet wrench","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186400088441","TXRW12V232",,"TX232","1/4"" cordless ratchet","EXACT","0.4",,,"True",
